country	city	At birth	0–14 years	15–24 years	25–54 years	55–64 years	Over 65	Total
Monaco	Monaco	1.03	1.06	1.09	1.03	0.98	0.80	0.94
Mongolia	Ulaanbaatar	1.05	1.04	1.03	0.94	0.83	0.67	0.95
Montenegro	Podgorica	1.04	1.08	1.07	0.99	0.96	0.77	0.97
Montserrat(UK)	Brades	1.03	1.06	1.10	0.93	0.88	1.26	1.00
Morocco	Casablanca	1.05	1.04	1.01	0.97	0.99	0.94	1.00
Mozambique	Maputo	1.03	1.03	1.00	0.87	0.95	0.96	0.97
Namibia	Windhoek	1.03	1.02	1.00	0.93	0.80	0.74	0.96
Nauru	Yaren	0.84	0.79	0.85	1.03	0.66	0.56	0.88
Nepal	Kathmandu	1.06	1.11	1.07	0.82	0.90	0.98	0.96
Netherlands	Amsterdam	1.05	1.05	1.04	1.01	0.99	0.83	0.98
New Caledonia(France)	Nouméa	1.05	1.05	1.05	1.02	0.94	0.78	1.00
New Zealand	Auckland	1.05	1.06	1.07	1.02	0.95	0.88	1.00
Nicaragua	Managua	1.05	1.04	1.02	0.91	0.85	0.79	0.95
Niger	Niamey	1.03	1.02	0.97	0.93	0.98	0.92	0.98
Nigeria	Lagos	1.06	1.04	1.03	1.00	0.96	0.89	1.02
North Macedonia	Skopje	1.07	1.07	1.07	1.03	0.97	0.78	0.99
Northern Mariana Islands(US)	San Antonio	1.16	1.17	1.17	1.07	1.19	1.15	1.13
Norway	Oslo	1.05	1.05	1.05	1.07	1.03	0.87	1.02
Oman	Muscat	1.05	1.05	1.11	1.33	1.13	0.92	1.18
Pakistan	Karachi	1.05	1.04	1.05	1.05	1.02	0.86	1.04
Palau	Koror	1.07	1.07	1.00	1.58	0.58	0.32	1.07
Panama	Panama City	1.04	1.04	1.04	1.03	0.99	0.84	1.01
Papua New Guinea	Port Moresby	1.05	1.04	1.03	1.05	1.07	0.96	1.04
Paraguay	Asunción	1.05	1.04	1.01	1.00	1.03	0.89	1.00
Peru	Lima	1.05	1.04	1.01	0.92	0.92	0.89	0.96
Poland	Warsaw	1.06	1.06	1.06	1.02	0.91	0.67	0.94
Portugal	Lisbon	1.05	1.05	1.06	0.97	0.84	0.66	0.90
